word,tag,age,gender
We,PRON,1,1
were,VERB,1,1
left,VERB,1,1
stranded,VERB,1,1
with,ADP,1,1
0,NUM,1,1
young,ADJ,1,1
kids,NOUN,1,1
at,ADP,1,1
Gatwick,NOUN,1,1
Airport,NOUN,1,1
for,ADP,1,1
nearly,ADV,1,1
0,NUM,1,1
hours,NOUN,1,1
on,ADP,1,1
arrival,NOUN,1,1
even,ADV,1,1
though,ADV,1,1
they,PRON,1,1
promise,VERB,1,1
to,PRT,1,1
monitor,VERB,1,1
your,DET,1,1
flight,NOUN,1,1
and,CONJ,1,1
be,VERB,1,1
waiting,VERB,1,1
at,ADP,1,1
arrivals,NOUN,1,1
Don,VERB,1,1
t,PRT,1,1
touch,VERB,1,1
these,DET,1,1
guys,NOUN,1,1
unless,ADP,1,1
you,PRON,1,1
are,VERB,1,1
desperate,ADJ,1,1
They,PRON,1,1
contacted,VERB,1,1
me,PRON,1,1
and,CONJ,1,1
offered,VERB,1,1
me,PRON,1,1
a,DET,1,1
better,ADJ,1,1
deal,NOUN,1,1
than,ADP,1,1
the,DET,1,1
previous,ADJ,1,1
contract,NOUN,1,1
both,CONJ,1,1
for,ADP,1,1
myself,PRON,1,1
and,CONJ,1,1
my,DET,1,1
wife,NOUN,1,1
A,DET,1,1
0,NUM,1,1
*****,X,1,1
Company,NOUN,1,1
also,ADV,1,1
I,PRON,1,1
was,VERB,1,1
informed,VERB,1,1
that,CONJ,1,1
the,DET,1,1
additional,ADJ,1,1
insurance,NOUN,1,1
cover,NOUN,1,1
was,VERB,1,1
€,X,1,1
0,NUM,1,1
00,NUM,1,1
per,ADP,1,1
day,NOUN,1,1
but,CONJ,1,1
on,ADP,1,1
arrival,NOUN,1,1
I,PRON,1,1
was,VERB,1,1
changed,VERB,1,1
€,X,1,1
0,NUM,1,1
00,NUM,1,1
per,ADP,1,1
day,NOUN,1,1
A,DET,1,1
company,NOUN,1,1
who,PRON,1,1
sell,VERB,1,1
all,DET,1,1
products,NOUN,1,1
needed,VERB,1,1
by,ADP,1,1
those,PRON,1,1
who,PRON,1,1
enjoy,VERB,1,1
a,DET,1,1
proper,ADJ,1,1
shave,NOUN,1,1
and,CONJ,1,1
groom,NOUN,1,1
I,PRON,1,1
ordered,VERB,1,1
a,DET,1,1
Sonos,NOUN,1,1
S0,NOUN,1,1
on,ADP,1,1
the,DET,1,1
00nd,NOUN,1,1
of,ADP,1,1
September,NOUN,1,1
the,DET,1,1
web,NOUN,1,1
stated,VERB,1,1
as,ADV,1,1
did,VERB,1,1
a,DET,1,1
follow,NOUN,1,1
up,NOUN,1,1
email,NOUN,1,1
shipping,NOUN,1,1
in,ADP,1,1
0,NUM,1,1
0,NUM,1,1
working,NOUN,1,1
days,NOUN,1,1
and,CONJ,1,1
delivery,NOUN,1,1
in,ADP,1,1
0,NUM,1,1
0,NUM,1,1
working,NOUN,1,1
days,NOUN,1,1
Took,VERB,1,1
three,NUM,1,1
days,NOUN,1,1
be,VERB,1,1
patient,ADJ,1,1
and,CONJ,1,1
it,PRON,1,1
ll,VERB,1,1
happen,VERB,1,1
Pet,NOUN,1,1
Supermarket,NOUN,1,1
is,VERB,1,1
an,DET,1,1
excellent,ADJ,1,1
choice,NOUN,1,1
for,ADP,1,1
all,DET,1,1
pet,NOUN,1,1
owners,NOUN,1,1
and,CONJ,1,1
I,PRON,1,1
can,VERB,1,1
highly,ADV,1,1
recommend,VERB,1,1
this,DET,1,1
company,NOUN,1,1
for,ADP,1,1
their,DET,1,1
quality,NOUN,1,1
goods,NOUN,1,1
selection,NOUN,1,1
promptness,NOUN,1,1
and,CONJ,1,1
after,ADP,1,1
sales,NOUN,1,1
service,NOUN,1,1
with,ADP,1,1
a,DET,1,1
good,ADJ,1,1
returns,NOUN,1,1
policy,NOUN,1,1
In,ADP,1,1
their,DET,1,1
Terms,NOUN,1,1
and,CONJ,1,1
Conditions,NOUN,1,1
reference,NOUN,1,1
is,VERB,1,1
made,VERB,1,1
to,ADP,1,1
bookings,NOUN,1,1
being,VERB,1,1
subject,NOUN,1,1
to,ADP,1,1
such,ADJ,1,1
a,DET,1,1
charge,NOUN,1,1
where,ADV,1,1
applicable,ADJ,1,1
but,CONJ,1,1
it,PRON,1,1
is,VERB,1,1
only,ADV,1,1
at,ADP,1,1
the,DET,1,1
final,ADJ,1,1
payment,NOUN,1,1
stage,NOUN,1,1
when,ADV,1,1
this,PRON,1,1
becomes,VERB,1,1
visible,ADJ,1,1
I,PRON,1,1
have,VERB,1,1
never,ADV,1,1
had,VERB,1,1
any,DET,1,1
problems,NOUN,1,1
with,ADP,1,1
this,DET,1,1
Company,NOUN,1,1
and,CONJ,1,1
would,VERB,1,1
rate,VERB,1,1
them,PRON,1,1
very,ADV,1,1
highly,ADV,1,1
More,ADV,1,1
expensive,ADJ,1,1
than,ADP,1,1
some,DET,1,1
competitors,NOUN,1,1
but,CONJ,1,1
has,VERB,1,1
good,ADJ,1,1
coverage,NOUN,1,1
Thank,PRT,1,1
you,PRON,1,1
Mr,NOUN,1,1
memory,NOUN,1,1
highly,ADV,1,1
recommended,VERB,1,1
I,PRON,1,1
found,VERB,1,1
the,DET,1,1
site,NOUN,1,1
easy,ADV,1,1
to,PRT,1,1
operate,VERB,1,1
and,CONJ,1,1
was,VERB,1,1
very,ADV,1,1
pleased,ADJ,1,1
with,ADP,1,1
my,DET,1,1
trip,NOUN,1,1
It,PRON,1,1
arrived,VERB,1,1
dead,ADV,1,1
in,ADP,1,1
the,DET,1,1
middle,NOUN,1,1
of,ADP,1,1
the,DET,1,1
delivery,NOUN,1,1
slot,NOUN,1,1
of,ADP,1,1
0,NUM,1,1
hour,NOUN,1,1
The,DET,1,1
manufacturers,NOUN,1,1
have,VERB,1,1
obviously,ADV,1,1
added,VERB,1,1
a,DET,1,1
fewadditional,ADJ,1,1
parts,NOUN,1,1
to,PRT,1,1
improve,VERB,1,1
the,DET,1,1
bed,NOUN,1,1
and,CONJ,1,1
have,VERB,1,1
not,ADV,1,1
updated,VERB,1,1
the,DET,1,1
instructionsbut,NOUN,1,1
it,PRON,1,1
was,VERB,1,1
fairly,ADV,1,1
easy,ADJ,1,1
to,PRT,1,1
work,VERB,1,1
out,PRT,1,1
no,DET,1,1
question,NOUN,1,1
is,VERB,1,1
too,ADV,1,1
small,ADJ,1,1
to,PRT,1,1
be,VERB,1,1
answered,VERB,1,1
prices,NOUN,1,1
are,VERB,1,1
the,DET,1,1
lowest,ADJ,1,1
on,ADP,1,1
the,DET,1,1
net,NOUN,1,1
and,CONJ,1,1
delivery,NOUN,1,1
times,NOUN,1,1
are,VERB,1,1
unbelievable,ADJ,1,1
if,CONJ,1,1
you,PRON,1,1
want,VERB,1,1
golf,NOUN,1,1
equipment,NOUN,1,1
check,VERB,1,1
these,PRON,1,1
out,PRT,1,1
first,ADV,1,1
would,VERB,1,1
like,VERB,1,1
to,PRT,1,1
have,VERB,1,1
seen,VERB,1,1
parts,NOUN,1,1
for,ADP,1,1
visual,ADJ,1,1
compairing,NOUN,1,1
USED,VERB,1,1
TWICE,ADV,1,1
VERY,ADV,1,1
DECIEVING,ADJ,1,1
INFORMATION,VERB,1,1
BACKED,VERB,1,1
UP,PRT,1,1
BY,ADP,1,1
UNHELPFULL,ADJ,1,1
STAFF,NOUN,1,1
MEMBERS,NOUN,1,1
HAD,VERB,1,1
TO,PRT,1,1
DO,VERB,1,1
A,DET,1,1
CLAIMBACK,NOUN,1,1
LAST,ADJ,1,1
TIME,NOUN,1,1
TO,PRT,1,1
RECOVER,VERB,1,1
PAYMENT,NOUN,1,1
MADE,VERB,1,1
IN,ADP,1,1
FULL,ADJ,1,1
IN,ADP,1,1
ADVANCE,NOUN,1,1
NEVER,ADV,1,1
AGAIN,ADV,1,1
BEWARE,VERB,1,1
CHECK,VERB,1,1
THOROUGHLY,ADV,1,1
I,PRON,1,1
would,VERB,1,1
not,ADV,1,1
even,ADV,1,1
consider,VERB,1,1
going,VERB,1,1
elsewhere,ADV,1,1
for,ADP,1,1
my,DET,1,1
vinyl,NOUN,1,1
needs,NOUN,1,1
the,DET,1,1
service,NOUN,1,1
is,VERB,1,1
just,ADV,1,1
that,ADV,1,1
good,ADJ,1,1
and,CONJ,1,1
the,DET,1,1
price,NOUN,1,1
is,VERB,1,1
fantastic,ADJ,1,1
too,ADV,1,1
I,PRON,1,1
recommend,VERB,1,1
this,DET,1,1
company,NOUN,1,1
They,PRON,1,1
were,VERB,1,1
a,DET,1,1
bargain,NOUN,1,1
and,CONJ,1,1
arrived,VERB,1,1
well,ADV,1,1
packaged,ADV,1,1
in,ADP,1,1
a,DET,1,1
couple,NOUN,1,1
of,ADP,1,1
days,NOUN,1,1
so,ADV,1,1
impressed,ADJ,1,1
with,ADP,1,1
the,DET,1,1
service,NOUN,1,1
of,ADP,1,1
quantity,NOUN,1,1
or,CONJ,1,1
quality,NOUN,1,1
and,CONJ,1,1
easy,ADJ,1,1
to,PRT,1,1
use,VERB,1,1
Postage,NOUN,1,1
cost,NOUN,1,1
was,VERB,1,1
quite,ADV,1,1
high,ADJ,1,1
for,ADP,1,1
the,DET,1,1
item,NOUN,1,1
a,DET,1,1
pair,NOUN,1,1
of,ADP,1,1
socks,NOUN,1,1
but,CONJ,1,1
